AIRCRAFT TYPES	Description	Wake	Body	Number of seats	ULD / Loose
T22M	Tupolev: Tu-22M 	M		0	
T334	Tupolev: Tu-334 	M		0	
TU4	Tupolev: Tu-4	M		0	
UU12	Udet: U-12 Flamingo Replica 	L		0	
UT60	UTVA: 60	L		0	
UT65	UTVA: 65 Privrednik	L		0	
UT66	UTVA: 66	L		0	
UT75	UTVA: 75	L		0	
RV10	Vans: RV-10	L		0	
RV3	Vans: RV-3	L		0	
RV4	Vans: RV-4	L		0	
RV4T	Vans: RV-4T	L		0	
RV6	Vans: RV-6	L		0	
RV7	Vans: RV-7	L		0	
RV8	Vans: RV-8	L		0	
RV9	Vans: RV-9	L		0	
VF14	VFW: VFW-614 	M		0	
VIMY	Vickers: FB-27 Vimy Replica 	L		0	
VISC	Vickers: Viscount	M		0	
ACSR	Victa / AESL: Aircruiser	L		0	
WACF	WACO Classic: YMF 	L		0	
WACO	WACO: 10	L		0	
WAC9	WACO: 9	L		0	
WACC	WACO: AGC, AQC	L		0	
WACN	WACO: AVN	L		0	
WACG	WACO: CRG	L		0	
WACE	WACO: E (ARE/HRE/SRE) Aristocrat	L		0	
WACA	WACO: IBA, PBA, PLA, RBA, UBA, ULA	L		0	
WACM	WACO: JWM, JYM	L		0	
WACT	WACO: RPT	L		0	
WACD	WACO: S3HD	L		0	
WA40	Wassmer: WA-40 Super 4 	L		0	
WA41	Wassmer: WA-41 Baladou	L		0	
WA42	Wassmer: WA-421 Prestige 	L		0	
WA50	Wassmer: WA-51 Pacific 	L		0	
WA80	Wassmer: WA-80 Piranha	L		0	
WG30	Westland: 30	L		0	
LYNX	Westland: Lynx 	L		0	
LYSA	Westland: Lysander 	L		0	
SCOU	Westland: Scout 	L		0	
WASP	Westland: Wasp 	L		0	
WESX	Westland: Wessex 	L		0	
Y112	Yakovlev / Jakovlev: Yak-112	L		0	
Y141	Yakovlev / Jakovlev: Yak-141	M		0	
YK42	Yakovlev / Jakovlev: Yak-142 	M	C	0	
YK28	Yakovlev / Jakovlev: Yak-28 	M		0	
YAK3	Yakovlev / Jakovlev: Yak-3 	L		0	
YK38	Yakovlev / Jakovlev: Yak-38 	M		0	
YK40	Yakovlev / Jakovlev: Yak-40 	M	C	0	
YK50	Yakovlev / Jakovlev: Yak-50 	L		0	
YK53	Yakovlev / Jakovlev: Yak-53	L		0	
YK54	Yakovlev / Jakovlev: Yak-54	L		0	
YK55	Yakovlev / Jakovlev: Yak-55 	L		0	
YK58	Yakovlev / Jakovlev: Yak-58	L		0	
YAK9	Yakovlev / Jakovlev: Yak-9 	L		0	
EDGE	Zivko: Edge 540 	L		0	
SAVG	Zlin: Savage	L		0	
Z26	Zlin: Z-126 Trener 2 	L		0	
Z37T	Zlin: Z-137 Agro Turbo 	L		0	
Z42	Zlin: Z-142 	L		0	
Z43	Zlin: Z-143 	L		0	
Z22	Zlin: Z-22 Junak	L		0	
Z50	Zlin: Z-50 	L		0	
SSC	Aerospatiale / SNIAS: Concorde	H		0	
NDC	Aerospatiale / SNIAS: SN-601 Corvette 	L		0	
AGH	Agusta / AgustaWestland: A-109 	L		0	
AB3	Airbus: A300	H		216	ULD
AB6	Airbus: A300-600	H	D	269	ULD
ABY	Airbus: A300-600F	H		0	
ABB	Airbus: A300-600ST Beluga	H		0	
AB4	Airbus: A300B2/B4/C4	H		0	
ABX	Airbus: A300C4/F4 Freighter	H		0	
ABF	Airbus: A300F	H		0	
310	Airbus: A310	H		241	ULD
312	Airbus: A310-200	H	D	0	
31X	Airbus: A310-200F	M		0	
313	Airbus: A310-300	H	D	190	ULD
31Y	Airbus: A310-300F	M		0	
31F	Airbus: A310F	M		0	
318	Airbus: A318	M		0	
32C	Airbus: A318 (sharklets)	M		0	
319	Airbus: A319	M	C	135	Loose
32D	Airbus: A319 (sharklets)	M		0	
320	Airbus: A320	M	C	180	Loose
32A	Airbus: A320 (sharklets)	M		0	
321	Airbus: A321	M	C	182	Loose
32B	Airbus: A321 (sharklets)	M		0	
330	Airbus: A330	H		0	
33F	Airbus: A330 Freighter	H		0	
332	Airbus: A330-200	H	E	371	ULD
33X	Airbus: A330-200 Freighter	H		0	
333	Airbus: A330-300	H	E	362	ULD
340	Airbus: A340	H		299	ULD
342	Airbus: A340-200	H	E	295	ULD
343	Airbus: A340-300	H	E	265	ULD
345	Airbus: A340-500	H	E	0	
346	Airbus: A340-600	H	E	0	
358	Airbus: A350-800	H		0	
359	Airbus: A350-900	H		0	
380	Airbus: A380	H	F	0	
388	Airbus: A380-800	H		0	
CS5	Airtech: CN-235	M		0	
ANF	Antonow / Antonov: An-12	M		0	
A4F	Antonow / Antonov: An-124	H	F	0	
A40	Antonow / Antonov: An-140	M		0	
AN4	Antonow / Antonov: An-24	M		0	
A26	Antonow / Antonov: An-26	L		0	
AN6	Antonow / Antonov: An-26 / An-30 / An-32	M		0	
A28	Antonow / Antonov: An-28 / PZL Mielec M-28	L		0	
A30	Antonow / Antonov: An-30	L		0	
A32	Antonow / Antonov: An-32	L		0	
AN7	Antonow / Antonov: An-72 / An-74	M	C	0	
ATR	ATR: ATR 42 / ATR 72	M		0	
AT4	ATR: ATR 42-300 / 320	M	C	50	Loose
AT5	ATR: ATR 42-500	M		68	ULD
AT7	ATR: ATR 72	M	C	68	Loose
B11	BAC: One Eleven	M		0	
B12	BAC: One Eleven 200	M		0	
B13	BAC: One Eleven 300	M		0	
B14	BAC: One Eleven 400/47	M		0	
B15	BAC: One Eleven 500	M		0	
146	BAe: 146	M		0	
14F	BAe: 146 Freighter (-100/200/300QT & QC)	M		0	
14X	BAe: 146 Freighter (-100QT & QC)	M		0	
14Y	BAe: 146 Freighter (-200QT & QC)	M		0	
14Z	BAe: 146 Freighter (-300QT & QC)	M		0	
141	BAe: 146-100	M		0	
142	BAe: 146-200	M		98	ULD
143	BAe: 146-300	M		0	
AR1	BAe: Avro RJ100	M	C	100	Loose
AR7	BAe: Avro RJ70	M		0	
ARJ	BAe: Avro RJ70 / RJ85 / RJ100	M	C	0	
AR8	BAe: Avro RJ85	M	C	0	
HS7	BAe: HS.748	M		0	
J31	BAe: Jetstream 31	L	B	0	
JST	BAe: Jetstream 31 / 32 / 41	L		0	
J32	BAe: Jetstream 32	L		0	
J41	BAe: Jetstream 41	M	B	0	
BES	Beech: 1900/1900C	M		0	
BE1	Beech: 1900/1900C/1900D	M		0	
BEH	Beech: 1900D	M	B	0	
BEC	Beech: Beech light aircraft	L		0	
BEP	Beech: Beech singe piston	L		0	
BE2	Beech: Beech twin piston	L		0	
BET	Beech: Beech twin turboprop	L		0	
BH2	Bell Helicopter: Bell Helicopters			0	
70M	Boeing: 707 Combi	H		0	
70F	Boeing: 707 Freighter	H		0	
707	Boeing: 707/720	H		0	
703	Boeing: 707-300	H		0	
717	Boeing: 717	M	B	105	Loose
B72	Boeing: 720B	M		0	
727	Boeing: 727	M		0	
72M	Boeing: 727 Combi	M		0	
72F	Boeing: 727 Freighter (-100/200)	M		0	
721	Boeing: 727-100	M	C	0	
72X	Boeing: 727-100 Freighter	M		0	
72B	Boeing: 727-100 Mixed	M		0	
722	Boeing: 727-200	M	C	159	ULD
72S	Boeing: 727-200 Adv.	M	C	153	ULD
72Y	Boeing: 727-200 Freighter	M		0	
72C	Boeing: 727-200 Mixed	M		0	
737	Boeing: 737	M		144	ULD
73F	Boeing: 737 Freighter	M		0	
731	Boeing: 737-100	M	C	0	
732	Boeing: 737-200	M	C	117	ULD
73M	Boeing: 737-200 Combi	M		0	
73X	Boeing: 737-200 Freighter	M		0	
733	Boeing: 737-300	M	C	148	Loose
73C	Boeing: 737-300 (winglets)	M		0	
73Y	Boeing: 737-300 Freighter	M		0	
734	Boeing: 737-400	M	C	170	Loose
735	Boeing: 737-500	M	C	121	Loose
736	Boeing: 737-600	M	C	0	
73G	Boeing: 737-700	M	C	149	Loose
73W	Boeing: 737-700 (winglets)	M		0	
738	Boeing: 737-800	M	C	184	Loose
73H	Boeing: 737-800 (winglets) 	M		0	
739	Boeing: 737-900	M	C	0	
73J	Boeing: 737-900 (winglets) 	M		0	
747	Boeing: 747	H		0	
74M	Boeing: 747 Combi	H		0	
74F	Boeing: 747 Freighter	H		0	
741	Boeing: 747-100	H		0	
74T	Boeing: 747-100 Freighter	H		0	
742	Boeing: 747-200	H		442	ULD
74C	Boeing: 747-200 Combi	H		0	
74X	Boeing: 747-200 Freighter	H		0	
743	Boeing: 747-300	H	E	580	ULD
74U	Boeing: 747-300 / 747-200 SUD Freighter	H		0	
74D	Boeing: 747-300 Combi	H		0	
744	Boeing: 747-400	H	E	478	ULD
74J	Boeing: 747-400 (Domestic)	H		0	
74E	Boeing: 747-400 Combi	H		0	
74Y	Boeing: 747-400 Freighter	H		0	
74N	Boeing: 747-8F	H		0	
74H	Boeing: 747-8i	H		0	
74L	Boeing: 747SP	H	E	0	
74R	Boeing: 747SR	H		0	
74V	Boeing: 747SR Freighter	H		0	
757	Boeing: 757	H		235	ULD
75F	Boeing: 757 Freighter	H		0	
75M	Boeing: 757 Mixed	H		0	
752	Boeing: 757-200	H	D	235	Loose
75W	Boeing: 757-200 (winglets)	H		0	
753	Boeing: 757-300	H		0	
75T	Boeing: 757-300 (winglets) 	H		0	
767	Boeing: 767	H		252	ULD
76F	Boeing: 767 Freighter	H		0	
762	Boeing: 767-200	H	D	262	ULD
76X	Boeing: 767-200 Freighter	H		0	
763	Boeing: 767-300	H	D	195	ULD
76W	Boeing: 767-300 (winglets) 	H		0	
76Y	Boeing: 767-300 Freighter	H		0	
764	Boeing: 767-400	H		0	
777	Boeing: 777	H		0	
77F	Boeing: 777 Freighter	H		0	
772	Boeing: 777-200	H	E	350	ULD
77L	Boeing: 777-200LR	H		0	
773	Boeing: 777-300	H	E	451	ULD
77W	Boeing: 777-300ER	H	E	0	
788	Boeing: 787-8 Dreamliner 	H		0	
789	Boeing: 787-9 Dreamliner 	H		0	
CS1	Bombardier: CSeries CS100	M		0	
CS3	Bombardier: CSeries CS300	M		0	
CCX	Bombardier: Global Express	M		0	
BNT	Britten Norman: BN-2A Mk III Trislander	L		0	
BNI	Britten Norman: BN-2A/B Islander	L		0	
CCJ	Canadair: Challenger	M		0	
CL4	Canadair: CL-44 Forty Four 	M		0	
CRJ	Canadair: CRJ	M		0	
CR1	Canadair: CRJ 100	M	B	0	
CRK	Canadair: CRJ 1000	M		0	
CR2	Canadair: CRJ 200	M	B	0	
CR7	Canadair: CRJ 700	M	B	0	
CRA	Canadair: CRJ 705	M		0	
CR9	Canadair: CRJ 900	M	C	0	
CRF	Canadair: CRJ Freighter	M		0	
CS2	CASA: 212 Aviocar	M		0	
CNA	Cessna: Cessna light aircraft	L		0	
CN1	Cessna: Cessna single piston engine	L		0	
CNC	Cessna: Cessna single turboprop engine	L		0	
CN2	Cessna: Cessna twin piston engines	L		0	
CNT	Cessna: Cessna twin turboprop engines	L		0	
CNJ	Cessna: Citation	L		0	
CVR	Convair: CV-240 / 440 / 580 / 600 / 640	M		0	
CVF	Convair: CV-240 / 440 / 580 / 600 / 640 Freighter	M		0	
CVV	Convair: CV-240 Freighter	M		0	
CVX	Convair: CV-440 Freighter	M		0	
CV4	Convair: CV-440 Metropolitan	M		0	
CV5	Convair: CV-580	M		0	
CVY	Convair: CV-580 / 600 / 640 Freighter	M		0	
CWC	Curtiss: C-46 Commando	M		0	
DFL	Dassault: Falcon	M		0	
DF2	Dassault: Falcon 10 / 100 / 20 / 200 / 2000	M		0	
DF3	Dassault: Falcon 50 / 900	M		0	
DHP	De Havilland Canada: DHC-2 Beaver	L		0	
DHB	De Havilland Canada: DHC-2 Beaver / Turbo Beaver	L		0	
DHR	De Havilland Canada: DHC-2 Turbo-Beaver	L		0	
DHS	De Havilland Canada: DHC-3 Otter	L		0	
DHO	De Havilland Canada: DHC-3 Otter / Turbo Otter	L		0	
DHL	De Havilland Canada: DHC-3 Turbo Otter	L		0	
DHC	De Havilland Canada: DHC-4 Caribou	M		0	
DHT	De Havilland Canada: DHC-6 Twin Otter	L		0	
DH7	De Havilland Canada: DHC-7 Dash 7	M		0	
DH8	De Havilland Canada: DHC-8 Dash 8	M		0	
DH1	De Havilland Canada: DHC-8-100 Dash 8 / 8Q	M	C	37	Loose
DH2	De Havilland Canada: DHC-8-200 Dash 8 / 8Q	M		0	
DH3	De Havilland Canada: DHC-8-300 Dash 8 / 8Q	M	C	0	
DH4	De Havilland Canada: DHC-8-400 Dash 8Q	M		0	
DHD	De Havilland: DH.104 Dove	L		0	
DHH	De Havilland: DH.114 Heron	L		0	
FRJ	Dornier: 328JET	M	B	0	
D28	Dornier: Do 228	L	B	18	ULD
D38	Dornier: Do 328	M	B	0	
D10	Douglas: DC-10	H		0	
D1M	Douglas: DC-10 Combi	H		0	
D1F	Douglas: DC-10 Freighter	H		0	
D1X	Douglas: DC-10-10 Freighter	H	D	0	
D1Y	Douglas: DC-10-30 / 40 Freighter	H		0	
D1C	Douglas: DC-10-30/40	H	D	0	
D3F	Douglas: DC-3 Freighter	M		0	
D6F	Douglas: DC-6A/B/C Freighter	M		0	
DC8	Douglas: DC-8	H		0	
D8M	Douglas: DC-8 Combi	H		0	
D8F	Douglas: DC-8 Freighter	H		0	
D8T	Douglas: DC-8-50 Freighter	H		0	
D8X	Douglas: DC-8-61 / 62 / 63 Freighter	H		0	
D8L	Douglas: DC-8-62	H		0	
D8Y	Douglas: DC-8-71 / 72 / 73 Freighter	H		0	
D8Q	Douglas: DC-8-72	H	D	0	
DC9	Douglas: DC-9	M		0	
D9F	Douglas: DC-9 Freighter	M		0	
D91	Douglas: DC-9-10	M		0	
D9X	Douglas: DC-9-10 Freighter	M		0	
D92	Douglas: DC-9-20	M		0	
D93	Douglas: DC-9-30	M		0	
D9C	Douglas: DC-9-30 Freighter	M		0	
D94	Douglas: DC-9-40	M		0	
D95	Douglas: DC-9-50	M		0	
EMB	EMBRAER: EMB 110 Bandeirante	M		0	
EM2	EMBRAER: EMB 120 Brasilia	L	B	0	
EMJ	EMBRAER: EMB 170 / EMB 190	M		0	
E70	EMBRAER: EMB-170 / EMB-175 / ERJ-170 / ERJ-175	M		0	
E90	EMBRAER: EMB-190 / EMB-195 / ERJ-190 / ERJ-195	M		0	
ER3	EMBRAER: ERJ 135	M	B	0	
ERJ	EMBRAER: ERJ 135 / ERJ 140 / ERJ 145	M		0	
ERD	EMBRAER: ERJ 140	M		0	
ER4	EMBRAER: ERJ 145	M	B	50	ULD
NDE	Eurocopter: AS350 Ecureuil / AS355 Ecureuil 2			0	
APH	Eurocopter: SA330 Puma / AS332 Super Puma			0	
NDH	Eurocopter: SA365C / SA365N Dauphin 2			0	
FK7	Fairchild-Hiller: FH-227	M		0	
SWM	Fairchild-Swearingen: SA26 / SA226 / SA227 Metro / Merlin	L		0	
100	Fokker: 100	M	C	94	ULD
F21	Fokker: F28 Fellowship 1000	M		0	
F23	Fokker: F28 Fellowship 3000	M		0	
F24	Fokker: F28 Fellowship 4000	M		0	
CD2	GAF: N22B / N24A Nomad	L		0	
GRG	Grumman: G-21 Goose	L		0	
GRJ	Gulfstream: G-1159 Gulfstream II / III / IV / V	M		0	
GRS	Gulfstream: G-159 Gulfstream I	M		0	
GRM	Gulfstream: G-73 Turbo Mallard	L		0	
YN2	HAMC / Harbin: Y-12 	L		0	
H25	Hawker-Siddeley: HS.125	M		0	
HEC	Helio: H-250 Courier / H-295 / 385 Super Courier	L		0	
WWP	IAI: 1124 Westwind	M		0	
I14	Ilyushin: Il-114 	M	C	0	
IL8	Ilyushin: Il-18 	M		0	
IL6	Ilyushin: Il-62 	H	D	0	
IL7	Ilyushin: Il-76 	H	D	0	
ILW	Ilyushin: Il-86 	H	D	64	ULD
IL9	Ilyushin: Il-96 	H	E	0	
I9F	Ilyushin: IL-96 Freighter	H		0	
I93	Ilyushin: IL-96-300	H	E	260	ULD
I9X	Ilyushin: IL-96-300 Freighter	H		0	
I9M	Ilyushin: IL-96M	H		0	
I9Y	Ilyushin: IL-96T Freighter	H		0	
JU5	Junkers: Ju 52/3M	M		0	
LRJ	Learjet: Gates Learjet	M		0	
L4T	LET: L-410	L		0	
L15	Lockheed: L-1011 500 Tristar	H	D	310	ULD
L1F	Lockheed: L-1011 Tristar Freighter	H		0	
L49	Lockheed: L-1049 Super Constellation	M		0	
LOH	Lockheed: L-182 / 282 / 382 (L-100) Hercules	M	D	0	
LOE	Lockheed: L-188 Electra	M		0	
LOF	Lockheed: L-188 Electra Freighter	M		0	
LOM	Lockheed: L-188 Electra Mixed	M		0	
MBH	MBB: BO-105 	L		0	
M11	McDonnell Douglas: MD-11	H	D	409	ULD
M1F	McDonnell Douglas: MD-11 Freighter	H		0	
M1M	McDonnell Douglas: MD-11 Mixed	H		0	
M80	McDonnell Douglas: MD-80	M		133	ULD
M81	McDonnell Douglas: MD-81	M		0	
M82	McDonnell Douglas: MD-82	M		133	ULD
M83	McDonnell Douglas: MD-83	M		169	ULD
M87	McDonnell Douglas: MD-87	M	C	111	ULD
M88	McDonnell Douglas: MD-88	M		0	
M90	McDonnell Douglas: MD-90	M	C	121	ULD
MD9	MD Helicopters: MD900 Explorer			0	
MIH	Mil: Mi-8 / Mi-17 / Mi-171 / Mil-172			0	
YS1	NAMC: YS-11	M		0	
ND2	Nord / SNCAN: N.262	M		0	
PN6	Partenavia: P.68	L		0	
PL2	Pilatus: PC-12	L		0	
PL6	Pilatus: PC-6 Turbo Porter	L		0	
PAG	Piper: Piper light aircraft	L		0	
PA1	Piper: Piper single piston engine	L		0	
PA2	Piper: Piper twin piston engines	L		0	
PAT	Piper: Piper twin turboprop engines	L		0	
ACP	Rockwell: Commander	L		0	
ACD	Rockwell: Commander/Turbo Commander	L		0	
S20	Saab: 2000	M	C	0	
SF3	Saab: SF340A/B	M	B	0	
SHB	Shorts: SC-5 Belfast	M		0	
SHS	Shorts: SC-7 Skyvan	L		0	
SH3	Shorts: SD.330	M		0	
SH6	Shorts: SD.360	M		0	
S58	Sikorsky: S-58T			0	
CRV	Sud-Est: SE.210 Caravelle	M		0	
TU3	Tupolev: Tu-134	M	C	74	ULD
TU5	Tupolev: Tu-154	M	D	165	ULD
T20	Tupolev: Tu-204 / Tu-214	M	D	0	
VCV	Vickers: Viscount	M		0	
YN7	Xian: Yunshuji Y7	M		0	
YK4	Yakovlev / Jakovlev: Yak-40 	M	C	0	
YK2	Yakovlev / Jakovlev: Yak-42 	M	C	0	
