AIRCRAFT TYPES	Description	Wake	Body	Number of seats	ULD / Loose
B18T	Beech: 18 (turbine) 	L		0	
B190	Beech: 1900	M	B	0	
STAR	Beech: 2000 Starship 	L		0	
BE23	Beech: 23 Musketeer 	L		0	
BE24	Beech: 24 Musketeer Super 	L		0	
B350	Beech: 300 (B300) Super King Air 350 	L		0	
BE30	Beech: 300 Super King Air 	L		0	
BE33	Beech: 33 Bonanza 	L		0	
BE35	Beech: 35 Bonanza 	L		0	
BE36	Beech: 36 Bonanza	L		0	
B36T	Beech: 36 Bonanza (turbine) 	L		0	
BE40	Beech: 400 Beechjet 	M		0	
T34P	Beech: 45 Mentor 	L		0	
BE50	Beech: 50 Twin Bonanza 	L		0	
BE55	Beech: 55 Baron 	L		0	
BE58	Beech: 58 Baron 	L		0	
BE60	Beech: 60 Duke 	L		0	
BE65	Beech: 65 Queen Air 	L		0	
BE70	Beech: 70 Queen Air 	L		0	
BE76	Beech: 76 Duchess 	L		0	
BE77	Beech: 77 Skipper 	L		0	
BE80	Beech: 80 Queen Air 	L		0	
BE88	Beech: 88 Queen Air 	L		0	
BE9T	Beech: 90 (F90) King Air 	L		0	
BE9L	Beech: 90 King Air 	L		0	
BE95	Beech: 95 Travel Air	L		0	
BE99	Beech: 99 Airliner 	L		0	
T34T	Beech: T-34C Turbo Mentor 	L		0	
U21	Beech: U-21A Ute	L		0	
P39	Bell Aircraft: P-39 Airacobra 	L		0	
P63	Bell Aircraft: P-63 Kingcobra 	L		0	
UH1	Bell Helicopter: 205	L		0	
B06T	Bell Helicopter: 206LT TwinRanger 	L		0	
HUCO	Bell Helicopter: 209 HueyCobra 	L		0	
B214	Bell Helicopter: 214C BigLifter 	M		0	
BSTP	Bell Helicopter: 214ST SuperTransport 	M		0	
B222	Bell Helicopter: 222	L		0	
B230	Bell Helicopter: 230	L		0	
B407	Bell Helicopter: 407	L		0	
B427	Bell Helicopter: 427	L		0	
B429	Bell Helicopter: 429 GlobalRanger	L		0	
B430	Bell Helicopter: 430	L		0	
SUCO	Bell Helicopter: SuperCobra	M		0	
UH1Y	Bell Helicopter: UH-1Y	M		0	
V22	Bell Helicopter: V-22 Osprey 	M		0	
B609	Bell-Agusta: BA-609 	M		0	
B14C	Bellanca: 14 Bellanca 260A / B / C	L		0	
B14A	Bellanca: 14 Cruisair / Cruisemaster / Junior	L		0	
BL17	Bellanca: 17 Super Viking 	L		0	
BL19	Bellanca: 19 Skyrocket	L		0	
T250	Bellanca: T-250 Aries	L		0	
F156	Benes-Mraz: K-65 Cap 	L		0	
SOKL	Benes-Mraz: M-1 Sokol 	L		0	
BER4	Beriev: A-40 Albatross 	M		0	
A50	Beriev: A-50	H		0	
B103	Beriev: Be-103 Bekas	L		0	
BE12	Beriev: Be-12 Tchaika 	M		0	
BER2	Beriev: Be-200 Altair 	M		0	
BE32	Beriev: Be-30 	M		0	
SA20	Beriev: SA-20	L		0	
SWOR	Blackburn: Swordfish 	L		0	
BL11	Bleriot: 11 / XI	L		0	
H46	Boeing Vertol: 107	M		0	
H64	Boeing Vertol: AH-64 Longbow Apache 	M		0	
H47	Boeing Vertol: CH-47 Chinook 	M		0	
B701	Boeing: 707-100 	M		0	
B703	Boeing: 707-300	H		0	
B712	Boeing: 717-200 	M		0	
B720	Boeing: 720	M		0	
B721	Boeing: 727-100	M	C	0	
R721	Boeing: 727-100RE Super 27 	M		0	
B722	Boeing: 727-200	M	C	159	ULD
R722	Boeing: 727-200RE Super 27 	M		0	
B731	Boeing: 737-100	M	C	0	
B732	Boeing: 737-200	M	C	117	ULD
B733	Boeing: 737-300	M	C	148	Loose
B734	Boeing: 737-400	M	C	170	Loose
B735	Boeing: 737-500	M	C	121	Loose
B736	Boeing: 737-600	M	C	0	
B737	Boeing: 737-700	M	C	149	Loose
B738	Boeing: 737-800	M	C	184	Loose
B739	Boeing: 737-900	M	C	0	
B741	Boeing: 747-100	H		0	
B742	Boeing: 747-200	H		442	ULD
B743	Boeing: 747-300	H	E	580	ULD
B744	Boeing: 747-400	H	E	478	ULD
BLCF	Boeing: 747-400LCF Dreamlifter 	H		0	
B748	Boeing: 747-8	H		0	
BSCA	Boeing: 747SCA Shuttle Carrier 	H		0	
B74S	Boeing: 747SP	H	E	0	
B74R	Boeing: 747SR	H		0	
ST75	Boeing: 75 Kaydet 	L		0	
B752	Boeing: 757-200	H	D	235	Loose
B753	Boeing: 757-300	H		0	
B762	Boeing: 767-200	H	D	262	ULD
B763	Boeing: 767-300	H	D	195	ULD
B764	Boeing: 767-400	H		0	
B772	Boeing: 777-200	H	E	350	ULD
